Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick
Sebastian Tretola,OG,Arkansas,76,314,5.45,23.5,22,90,7.94,5.02,193
Max Tuerk,C,USC,77,298,5.12,,22,,,,66
Laremy Tunsil,OT,Mississippi,77,310,5.23,,,,,,13
Landon Turner,OG,North Carolina,76,330,5.58,19,30,88,,,-1
Halapoulivaati Vaitai,OT,TCU,78,320,5.26,29,23,113,8.26,5,164
Christian Westerman,OG,Arizona State,75,298,5.12,,34,98,7.69,4.71,161
Cody Whitehair,OT,Kansas State,76,301,5.02,25.5,16,110,7.32,4.58,56
Avery Young,OT,Auburn,77,328,5.39,,,,8.22,4.91,-1
Isaac Asiata,OG,Utah,75,323,5.34,25.5,35,102,7.83,4.93,164
Erik Austell,OG,Charleston Southern,75,301,5.23,27.5,24,107,8.13,4.9,-1
Zach Banner,OG,USC,80,353,5.58,23.5,22,92,8.31,5.21,137
Adam Bisnowaty,OT,Pittsburgh,78,304,5.23,29.5,23,96,8.02,4.94,200
Garrett Bolles,OT,Utah,77,297,4.95,28,,115,7.29,4.55,20
Ben Braden,OG,Michigan,78,329,5.04,28,25,102,7.85,4.9,-1
Daniel Brunskill,OT,San Diego State,77,273,,28,17,106,7.9,4.84,-1
Collin Buchanan,OT,Miami (OH),77,316,,25,23,97,,,-1
Aviante Collins,OG,TCU,76,295,4.81,,34,,,,-1
Ethan Cooper,OG,Indiana (PA),74,322,5.36,24.5,26,99,8.02,4.88,-1
Julien Davenport,OT,Bucknell,79,318,5.45,27,18,106,7.57,4.69,-1
Dion Dawkins,OG,Temple,76,314,5.11,26,26,106,7.3,4.78,63
J.J. Dielman,OT,Utah,77,309,,,27,,,,176
Jessamen Dunker,OG,Tennessee State,76,318,4.98,28.5,23,108,,,-1
Pat Elflein,C,Ohio State,75,303,5.32,23.5,22,99,7.94,4.71,70
Jermaine Eluemunor,OG,Texas A&M,76,332,5.22,,34,,,,159
Dan Feeney,OG,Indiana,76,305,5.24,28,26,101,7.52,4.68,71
Kyle Fuller,C,Baylor,77,307,5.24,26,23,96,7.71,4.84,243
Antonio Garcia,OT,Troy,78,302,5.15,31,24,108,7.98,4.94,85
Avery Gennesy,OG,Texas A&M,75,318,5.35,20,24,91,8.08,5,-1
