Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Jason Scukanec,C,BYU,74,304,5.33,29,30,100,7.87,4.59,-1,2002
Kendall Simmons,OG,Auburn,75,311,5.3,28.5,24,98,7.84,4.71,1,2002
Ed Ta'amu,OG,Utah,74,335,5.3,29,28,,,,-1,2002
Kurt Vollers,OT,Notre Dame,79,321,5.36,30.5,30,,,,-1,2002
Langston Walker,OT,California,80,344,5.26,28.5,21,102,8.09,4.95,1,2002
Fred Weary,C,Tennessee,76,308,5.37,32,34,104,7.68,4.63,1,2002
Mike Williams,OT,Texas,78,375,5.3,30,29,102,,,1,2002
Justin Bates,OG,Colorado,76,300,5.38,,18,,,,1,2003
Jordan Black,OT,Notre Dame,78,314,5.18,30,,106,7.65,4.5,1,2003
Ulish Booker,OT,Michigan State,78,304,5.24,,,,,,-1,2003
Jeremy Bridges,OG,Southern Miss,76,301,5.38,28.5,25,96,8.12,4.77,1,2003
Lucas Brigman,C,Nebraska-Omaha,72,308,5.3,27,26,101,7.99,4.67,-1,2003
Ben Claxton,C,Mississippi,75,301,5.16,27,,102,7.81,4.69,1,2003
Brennan Curtin,OT,Notre Dame,81,318,5.28,32,,100,7.98,4.87,1,2003
Anthony Davis,OG,Virginia Tech,76,329,5.34,27.5,,95,8.26,4.98,-1,2003
Enoch DeMar,OG,Indiana,76,334,5.63,22.5,22,90,8.35,5.1,-1,2003
David Diehl,OG,Illinois,78,310,5.26,28,22,96,8.1,4.97,1,2003
Robbie Doane,OG,Texas,78,311,5.29,24.5,,85,8.04,4.73,-1,2003
Derrick Dockery,OG,Texas,78,347,5.58,25,,92,,,1,2003
Jeff Faine,C,Notre Dame,75,303,5.18,,,,,,1,2003
Gus Felder,OG,Penn State,75,324,5.83,23.5,,94,9.12,5.54,-1,2003
George Foster,OT,Georgia,77,338,5.23,27,,100,,,1,2003
Makoa Freitas,OG,Arizona,76,307,5.05,24.5,36,95,8.24,4.92,1,2003
Lui Fuata,C,Hawaii,74,309,5.57,,,,,,-1,2003
Jordan Gross,OT,Utah,76,300,5.05,31.5,28,112,7.69,4.39,1,2003
Kwame Harris,OT,Stanford,79,310,5.2,35.5,,107,7.98,4.65,1,2003
Montrae Holland,OG,Florida State,73,333,5.3,,30,,8.46,5.13,1,2003
Wayne Hunter,OT,Hawaii,78,303,5.08,31,37,104,7.72,4.57,1,2003
Alex Jackson,OG,Georgia,76,356,5.4,,,,,,-1,2003
Jason Jimenez,OT,Southern Miss,79,311,5.26,30,18,96,8.47,4.69,-1,2003
Garry Johnson,OT,Arkansas State,75,289,5.28,24.5,17,97,8.27,4.89,-1,2003
Ben Johnson,OT,Wisconsin,78,329,5.37,,30,,,,1,2003
