Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad_Jump,3Cone,Shuttle,Draft_Pick,Draft_Year
Netane Muti,OL,Fresno State,75,315,,,44,,,,1,2020
Lucas Niang,OL,TCU,78,315,,,,,,,1,2020
Mike Onwenu,OL,Michigan,75,344,,,26,,,,1,2020
Matt Peart,OL,Connecticut,79,318,5.06,30,26,113,8.01,4.92,1,2020
Tyre Phillips,OL,Mississippi State,77,331,5.37,25,22,93,8.17,5.11,1,2020
Danny Pinter,OL,Ball State,76,306,4.91,29.5,24,110,7.76,4.62,1,2020
Cesar Ruiz,OL,Michigan,75,307,5.08,33,28,113,7.91,4.64,1,2020
Jon Runyan,OL,Michigan,76,306,5.08,30.5,24,107,7.57,4.69,1,2020
John Simpson,OL,Clemson,76,321,5.24,30,34,107,8.03,4.87,1,2020
Terence Steele,OL,Texas Tech,78,312,5.03,27.5,27,106,,5.08,-1,2020
Logan Stenberg,OL,Kentucky,78,317,5.3,26,,104,8,4.83,1,2020
Simon Stepaniak,OL,Indiana,76,313,,,37,,,,1,2020
Alex Taylor,OL,South Carolina State,80,308,5.09,25,21,116,7.77,4.79,-1,2020
Andrew Thomas,OL,Georgia,77,315,5.22,30.5,21,109,7.58,4.66,1,2020
Calvin Throckmorton,OL,Oregon,77,317,5.57,27,23,97,8.07,4.98,-1,2020
Prince Tega Wanogho,OL,Auburn,77,308,,,,,,,1,2020
Darryl Williams,OL,Mississippi State,74,304,5.23,25.5,23,102,7.88,4.76,-1,2020
Jedrick Wills,OL,Alabama,76,312,5.05,34.5,,113,,4.84,1,2020
Isaiah Wilson,OL,Georgia,78,350,5.32,29,26,110,8.26,5.07,1,2020
Tristan Wirfs,OL,Iowa,77,320,4.85,36.5,24,121,7.65,4.68,1,2020
Jack Anderson,OL,Texas Tech,76,314,5.28,29.5,27,105,7.9,4.83,1,2021
Calvin Ashley,OL,Florida A&M,78,314,5.49,29,15,105,7,5.1,-1,2021
Kayode Awosika,OL,Buffalo,75,307,5.19,30,28,100,8.15,4.91,-1,2021
Josh Ball,OL,Marshall,79,308,5.2,27.5,28,106,7.77,4.7,1,2021
Aaron Banks,OL,Notre Dame,77,325,5.32,31,24,100,7.69,4.89,1,2021
Cole Banwart,OL,Iowa,73,298,5.12,27.5,22,103,7.5,4.7,-1,2021
Chase Behrndt,OL,West Virginia,75,324,5.55,24.5,25,101,8.21,4.93,-1,2021
Larry Borom,OL,Missouri,77,322,5.12,31,,,,,1,2021
Deonte Brown,OL,Alabama,75,344,,27,,,,,1,2021
John Brunner,OL,North Texas,74,294,,32.5,11,121,6.77,4.3,-1,2021
Jake Burton,OL,Baylor,77,303,5.49,26,22,100,8.22,4.97,-1,2021
Donavaughn Campbell,OL,Louisiana Tech,76,336,5.62,22,,93,8.34,5.15,-1,2021
Jackson Carman,OT,Clemson,76,317,,,,,,,1,2021
Brady Christensen,OL,BYU,,,,34,30,124,,,1,2021
Ben Cleveland,OL,Georgia,78,343,5.05,28,30,102,,4.88,1,2021
Samuel Cosmi,OL,Texas,77,314,4.87,30,36,117,7.35,4.39,1,2021
Harry Crider,OL,Indiana,74,307,5.25,27,31,102,7.63,4.68,-1,2021
Jake Curhan,OL,California,77,316,5.45,24,15,102,8.07,4.84,-1,2021
Drew Dalman,C,Stanford,75,299,5.11,33,33,109,7.33,4.52,1,2021
Wyatt Davis,OL,Ohio St.,75,315,,,25,,,,1,2021
Jon Dietzen,OL,Wisconsin,76,312,5.32,27,19,106,7.64,4.85,-1,2021
Adrian Ealy,OL,Oklahoma,78,321,5.42,24.5,18,104,8.82,4.87,-1,2021
Liam Eichenberg,OL,Notre Dame,78,306,,26.5,33,105,7.53,4.58,1,2021
Matt Farniok,OL,Nebraska,77,311,5.2,33,28,105,7.14,4.8,-1,2021
Parker Ferguson,T,Air Force,75,306,5.19,31,24,105,7.75,4.9,-1,2021
Stone Forsythe,OL,Florida,80,307,5.14,27.5,25,103,7.47,4.65,1,2021
Will Fries,OL,Penn St.,78,309,5.37,31,24,115,7.77,4.53,1,2021
Kendrick Green,OL,Illinois,73,305,4.89,35.5,25,119,7.79,4.67,1,2021
Robert Hainsey,OL,Notre Dame,76,306,5.2,27.5,32,104,7.58,4.63,1,2021
Noah Hannon,OL,Appalachian St.,72,238,5.15,29.5,15,108,7.37,4.68,-1,2021
Bryce Hargrove,OL,Pittsburgh,75,310,5.46,27,26,97,8.06,5.03,-1,2021
Darius Harper,OL,Cincinnati,78,300,5.05,30.5,16,105,7.7,4.54,-1,2021
Brett Heggie,OL,Florida,76,310,5.5,26,21,105,7.66,4.69,-1,2021
Grant Hermanns,OL,Purdue,79,300,,27,29,107,7.76,4.81,-1,2021
Trey Hill,OL,Georgia,75,319,5.5,,,,,,1,2021
James Hudson,OL,Cincinnati,76,313,5.27,28.5,22,98,8.05,4.79,1,2021
Creed Humphrey,OL,Oklahoma,76,302,5.11,33,29,112,7.5,4.49,1,2021
Sadarius Hutcherson,OL,South Carolina,,321,4.95,,36,,,,-1,2021
Alaric Jackson,OL,Iowa,78,321,5.2,25,,103,7.7,,-1,2021
Drake Jackson,C,Kentucky,73,293,,31,,,,,-1,2021
Brenden Jaimes,OL,Nebraska,77,298,,30.5,25,112,7.5,4.51,1,2021
Teven Jenkins,OL,Oklahoma St.,77,317,5.01,32.5,36,106,7.72,4.66,1,2021
Adam Jewell,OL,Air Force,74,289,5.37,27.5,,107,,,-1,2021
Robert Jones,OL,Middle Tenn. St.,76,319,5.36,,,,,,-1,2021
Ben Knutson,OL,Tulane,79,301,5.27,24,12,99,8.01,4.85,-1,2021
Tommy Kraemer,OL,Notre Dame,77,309,,,,,,,-1,2021
Cole Van Lanen,OL,Wisconsin,76,305,5.11,30,22,107,7.34,4.64,1,2021
Nolan Laufenberg,OL,Air Force,76,312,5.34,29.5,,105,7.7,4.77,-1,2021
Alex Leatherwood,OL,Alabama,77,312,4.96,34.5,,118,,,1,2021
Walker Little,OT,Stanford,79,313,5.3,29.5,24,111,7.44,4.59,1,2021
Quinn Meinerz,OL,Wisconsinâ€“Whitewater,74,320,4.99,32,,111,7.54,4.58,1,2021
Jordan Meredith,OL,Western Kentucky,74,302,5.11,32,25,109,7.41,4.62,-1,2021
Jaylon Moore,T,West. Michigan,76,311,5.25,30,27,106,7.77,4.67,1,2021
Jimmy Morrissey,OL,Pittsburgh,75,303,5.31,31,26,105,7.39,4.47,1,2021
Josh Myers,C,Ohio St.,77,310,,,29,,,,1,2021
Ryan Neuzil,OL,Appalachian St.,74,301,5.09,29,30,102,7.41,4.53,-1,2021
Royce Newman,OL,Mississippi,77,310,5.14,28,23,104,7.91,4.75,-1,2021
Jarrett Patterson,OL,Notre Dame,78,295,4.52,,,,,,-1,2021
Dillon Radunz,OT,North Dakota St.,77,301,5.16,32,24,112,7.27,4.57,1,2021
Teton Saltes,OL,New Mexico,76,300,5.04,30.5,22,105,7.76,4.64,-1,2021
Foster Sarell,OL,Stanford,78,318,5.54,27,26,97,7.63,4.69,-1,2021
Ry Schneider,OL,Oklahoma St.,74,312,5.67,23.5,26,85,8.51,5.37,-1,2021
Penei Sewell,OL,Oregon,76,331,5.13,28,30,109,7.76,4.68,1,2021
William Sherman,OL,Colorado,75,304,5.19,26,23,108,7.71,4.82,1,2021
Jacob Shoemaker,OL,South Alabama,75,319,5.49,24,20,93,8.2,5.02,-1,2021
Rashawn Slater,OL,Northwestern,76,304,4.91,33,33,112,7.48,4.45,1,2021
D'Ante Smith,OL,East Carolina,77,305,5.29,29,24,113,7.96,4.81,-1,2021
